name,calories,calories,protein,fat,carbohydrate,fiber,sodium,portion_size,serving_unit,food_category,allergens,glycemic_index
"Broccoli, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CV8",0.0,0.0,0.0,0.23,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CW4",0.0,0.0,0.0,0.35,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CW6",0.0,0.0,0.0,0.0,0.0,0.0,42.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 3, n/a, Yes, Proximates - NFY010D84",0.0,0.0,0.0,0.41,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 3, n/a, Yes, Minerals - NFY010D86",0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,Uncategorized,None,0
"Broccoli, raw",32.0,132.0,2.57,0.34,6.29,2.4,36.0,76.0,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.07,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.02,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.92,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.93,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,48.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.94,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,37.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.19,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,37.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.92,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,44.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,1.12,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"MILK, 1% ",0.0,0.0,0.0,1.14,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.94,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.87,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.72,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.94,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.98,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.85,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.92,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.07,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.87,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,37.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.84,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.89,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.91,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.96,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.87,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,36.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.01,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,1.04,0.0,0.0,0.0,,,Uncategorized,None,0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,179.0,3.38,0.95,5.19,0.0,39.0,233.0,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.06,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.08,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.14,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,41.0,,,Uncategorized,None,0
